OCC_CODE,AREA_TITLE,A_MEDIAN
27-4011,North Carolina,"46,700"
27-4014,North Carolina,"49,150"
27-4031,North Carolina,"62,720"
27-4032,North Carolina,"60,020"
11-2021,North Dakota,"125,580"
11-2032,North Dakota,"114,110"
11-2033,North Dakota,"121,750"
13-1161,North Dakota,"61,580"
27-1011,North Dakota,"83,170"
27-2012,North Dakota,"57,870"
27-3023,North Dakota,"43,420"
27-3031,North Dakota,"70,280"
27-3041,North Dakota,"60,520"
27-4011,North Dakota,"50,110"
27-4031,North Dakota,"53,650"
41-3011,North Dakota,"50,110"
11-2011,Ohio,"102,110"
11-2021,Ohio,"132,330"
11-2032,Ohio,"118,670"
11-2033,Ohio,"101,470"
13-1161,Ohio,"72,790"
27-1011,Ohio,"94,390"
27-1014,Ohio,"67,000"
27-2012,Ohio,"69,350"
27-3023,Ohio,"47,880"
27-3031,Ohio,"64,840"
27-3041,Ohio,"72,160"
27-4011,Ohio,"49,890"
27-4014,Ohio,"64,030"
27-4031,Ohio,"64,860"
27-4032,Ohio,"56,410"
41-3011,Ohio,"50,410"
11-2021,Oklahoma,"126,920"
11-2032,Oklahoma,"96,030"
11-2033,Oklahoma,"122,100"
13-1161,Oklahoma,"61,940"
27-1011,Oklahoma,"80,680"
27-1014,Oklahoma,"66,980"
27-2012,Oklahoma,"61,600"
27-3023,Oklahoma,"48,210"
27-3031,Oklahoma,"64,920"
27-3041,Oklahoma,"50,780"
27-4011,Oklahoma,"49,010"
27-4031,Oklahoma,"48,620"
27-4032,Oklahoma,"55,210"
41-3011,Oklahoma,"57,670"
11-2011,Oregon,"154,490"
11-2021,Oregon,"161,560"
11-2032,Oregon,"131,190"
11-2033,Oregon,"103,870"
13-1161,Oregon,"79,150"
27-1011,Oregon,"133,840"
27-2012,Oregon,"87,460"
27-3023,Oregon,"49,200"
27-3031,Oregon,"74,900"
27-3041,Oregon,"71,540"
27-4011,Oregon,"52,000"
27-4032,Oregon,"72,300"
41-3011,Oregon,"62,810"
11-2011,Pennsylvania,"122,940"
11-2021,Pennsylvania,"150,810"
11-2032,Pennsylvania,"118,050"
11-2033,Pennsylvania,"111,280"
13-1161,Pennsylvania,"68,760"
27-1011,Pennsylvania,"97,450"
27-1014,Pennsylvania,"71,760"
27-2012,Pennsylvania,"75,460"
27-3031,Pennsylvania,"57,460"
27-3041,Pennsylvania,"63,460"
27-4011,Pennsylvania,"56,890"
27-4014,Pennsylvania,"49,490"
27-4031,Pennsylvania,"51,760"
41-3011,Pennsylvania,"58,350"
11-2011,Rhode Island,"157,890"
11-2032,Rhode Island,"156,080"
11-2033,Rhode Island,"155,970"
13-1161,Rhode Island,"86,240"
27-1011,Rhode Island,"72,550"
27-1014,Rhode Island,"80,040"
27-2012,Rhode Island,"84,250"
27-3023,Rhode Island,"74,570"
27-3031,Rhode Island,"77,540"
27-3041,Rhode Island,"77,960"
27-4011,Rhode Island,"64,070"
27-4031,Rhode Island,"49,790"
41-3011,Rhode Island,"48,040"
11-2011,South Carolina,"156,300"
11-2021,South Carolina,"143,290"
11-2032,South Carolina,"104,920"
11-2033,South Carolina,"103,240"
13-1161,South Carolina,"69,440"
27-1011,South Carolina,"87,990"
27-2012,South Carolina,"56,030"
27-3023,South Carolina,"47,940"
27-3031,South Carolina,"62,730"
27-3041,South Carolina,"62,000"
27-4011,South Carolina,"52,000"
27-4014,South Carolina,"45,240"
27-4031,South Carolina,"57,940"
41-3011,South Carolina,"68,200"
11-2021,South Dakota,"167,750"
13-1161,South Dakota,"63,490"
27-1011,South Dakota,"66,610"
27-2012,South Dakota,"60,260"
27-3023,South Dakota,"43,520"
27-3031,South Dakota,"64,520"
27-3041,South Dakota,"56,730"
27-4031,South Dakota,"44,160"
27-4032,South Dakota,"39,090"
41-3011,South Dakota,"60,190"
11-2011,Tennessee,"98,170"
11-2021,Tennessee,"131,990"
11-2032,Tennessee,"127,390"
11-2033,Tennessee,"107,760"
13-1161,Tennessee,"69,790"
27-1011,Tennessee,"89,860"
27-1014,Tennessee,"83,080"
27-2012,Tennessee,"73,020"
27-3023,Tennessee,"62,390"
27-3031,Tennessee,"60,900"
27-3041,Tennessee,"59,550"
27-4011,Tennessee,"49,970"
27-4014,Tennessee,"60,500"
27-4031,Tennessee,"57,030"
27-4032,Tennessee,"57,880"
41-3011,Tennessee,"40,910"
11-2011,Texas,"104,170"
11-2021,Texas,"147,880"
11-2032,Texas,"126,670"
11-2033,Texas,"96,520"
13-1161,Texas,"72,520"
27-1011,Texas,"88,270"
27-1014,Texas,"78,930"
27-2012,Texas,"71,710"
27-3023,Texas,"48,470"
27-3031,Texas,"65,160"
27-3041,Texas,"45,950"
27-4011,Texas,"49,440"
27-4014,Texas,"54,370"
27-4031,Texas,"63,110"
27-4032,Texas,"61,220"
41-3011,Texas,"60,280"
11-2021,Utah,"139,830"
11-2032,Utah,"132,670"
11-2033,Utah,"95,190"
13-1161,Utah,"62,630"
27-1011,Utah,"106,500"
27-1014,Utah,"88,210"
27-2012,Utah,"76,350"
27-3023,Utah,"61,880"
27-3031,Utah,"62,670"
27-3041,Utah,"65,040"
27-4011,Utah,"48,730"
27-4014,Utah,"36,400"
27-4031,Utah,"73,450"
27-4032,Utah,"76,240"
41-3011,Utah,"74,260"
11-2033,Vermont,"129,170"
13-1161,Vermont,"74,880"
27-1011,Vermont,"129,260"
27-2012,Vermont,"55,660"
27-3023,Vermont,"46,970"
27-3031,Vermont,"66,060"
27-3041,Vermont,"66,860"
27-4011,Vermont,"51,500"
27-4031,Vermont,"46,350"
27-4032,Vermont,"63,080"
41-3011,Vermont,"58,750"
11-2011,Virginia,"148,400"
11-2021,Virginia,"187,820"
11-2032,Virginia,"176,340"
11-2033,Virginia,"143,730"
13-1161,Virginia,"76,980"
27-1011,Virginia,"101,150"
27-1014,Virginia,"81,510"
27-2012,Virginia,"65,900"
27-3023,Virginia,"62,140"
27-3031,Virginia,"80,380"
27-3041,Virginia,"80,590"
27-4011,Virginia,"53,960"
27-4014,Virginia,"49,920"
27-4031,Virginia,"58,440"
27-4032,Virginia,"78,740"
11-2011,Washington,"163,380"
11-2021,Washington,"172,270"
11-2032,Washington,"159,440"
11-2033,Washington,"137,010"
13-1161,Washington,"95,120"
27-1011,Washington,"121,170"
27-1014,Washington,"133,480"
27-2012,Washington,"81,550"
27-3023,Washington,"54,760"
27-3031,Washington,"87,470"
27-3041,Washington,"77,850"
27-4011,Washington,"69,270"
27-4031,Washington,"60,250"
27-4032,Washington,"66,870"
41-3011,Washington,"101,320"
11-2021,West Virginia,"98,750"
11-2032,West Virginia,"82,380"
11-2033,West Virginia,"74,400"
13-1161,West Virginia,"52,340"
27-1011,West Virginia,"63,550"
27-1014,West Virginia,"60,940"
27-2012,West Virginia,"46,660"
27-3023,West Virginia,"35,280"
27-3031,West Virginia,"56,730"
27-3041,West Virginia,"56,630"
27-4011,West Virginia,"46,590"
27-4031,West Virginia,"43,390"
27-4032,West Virginia,"48,440"
41-3011,West Virginia,"44,700"
11-2011,Wisconsin,"131,530"
11-2021,Wisconsin,"133,600"
11-2032,Wisconsin,"113,980"
11-2033,Wisconsin,"123,090"
13-1161,Wisconsin,"64,800"
27-1011,Wisconsin,"81,130"
27-1014,Wisconsin,"64,890"
27-2012,Wisconsin,"66,390"
27-3023,Wisconsin,"57,530"
27-3031,Wisconsin,"67,240"
27-3041,Wisconsin,"64,270"
27-4011,Wisconsin,"51,390"
27-4014,Wisconsin,"46,780"
